question_id,question_slug,phase_id,category,round_number,winner_id,winner_score,num_responses,mean_word_count,total_votes,approve_count,neutral_count,reject_count,conclude_votes,continue_votes,should_terminate
rq-0-14,propellant-production-phase-0-scope,phase-0,technical-systems,1,claude-opus-4-6,5.0,3,1187,9,8,1,0,3,0,True
rq-0-18,human-rating-transport-vehicles,phase-0,certification,1,claude-opus-4-6,5.0,3,1273,9,8,1,0,3,0,True
rq-0-26,dual-bucket-wheel-excavation,phase-0,technical-systems,1,claude-opus-4-6,4.0,3,1201,9,6,3,0,3,0,True
rq-0-28,isru-cost-methodology-validation,phase-0,economic,1,claude-opus-4-6,4.0,3,1267,9,4,5,0,1,2,False
rq-0-28,isru-cost-methodology-validation,phase-0,economic,2,gemini-3-pro,5.0,3,1199,9,8,1,0,2,1,True
rq-0-28,isru-cost-methodology-validation,phase-0,economic,3,claude-opus-4-6,4.0,3,1235,9,6,3,0,2,1,True
rq-0-29,multi-century-governance-structure,phase-0,governance,1,claude-opus-4-6,5.0,3,1308,9,7,2,0,3,0,True
rq-1-11,swarm-power-architecture-end-use,phase-1,technical-systems,1,claude-opus-4-6,5.0,3,1175,9,7,2,0,3,0,True
rq-1-16,autonomous-assembly-certification,phase-1,certification,1,claude-opus-4-6,5.0,3,1364,9,8,1,0,3,0,True
rq-1-21,feedstock-acquisition-isru-timeline,phase-1,economic,1,claude-opus-4-6,5.0,3,1351,9,8,1,0,3,0,True
rq-1-24,swarm-coordination-architecture-scale,phase-1,technical-systems,1,gemini-3-pro,4.5,3,1217,9,6,3,0,2,1,True
rq-1-24,swarm-coordination-architecture-scale,phase-1,technical-systems,2,gemini-3-pro,5.0,3,1172,9,7,2,0,3,0,True
rq-1-33,tug-end-of-life-disposal,phase-1,governance,1,claude-opus-4-6,5.0,3,1345,9,7,2,0,3,0,True
rq-1-40,slot-reallocation-governance,phase-1,governance,1,claude-opus-4-6,4.0,3,1348,9,5,4,0,2,1,True
rq-1-40,slot-reallocation-governance,phase-1,governance,2,claude-opus-4-6,5.0,3,1237,9,7,2,0,3,0,True
rq-1-42,node-end-of-life-disposal,phase-1,governance,1,gemini-3-pro,4.5,3,1399,9,5,4,0,1,2,False
rq-1-42,node-end-of-life-disposal,phase-1,governance,2,claude-opus-4-6,5.0,3,1226,9,7,2,0,3,0,True
rq-2-17,fleet-coordination-scale-constraints,phase-2,technical-systems,1,claude-opus-4-6,4.0,3,1112,9,4,5,0,2,1,True
rq-2-17,fleet-coordination-scale-constraints,phase-2,technical-systems,2,claude-opus-4-6,5.0,3,1222,9,6,3,0,3,0,True
rq-2-20,swarm-roi-threshold-humanity-power-needs,phase-2,economic,1,claude-opus-4-6,4.0,3,1294,9,5,4,0,2,1,True
rq-2-20,swarm-roi-threshold-humanity-power-needs,phase-2,economic,2,claude-opus-4-6,4.0,3,1249,9,5,4,0,2,1,True
rq-2-3,billion-unit-collision-avoidance,phase-2,technical-systems,1,claude-opus-4-6,5.0,3,1304,9,6,3,0,3,0,True
rq-2-8,autonomous-repair-authority-limits,phase-2,governance,1,claude-opus-4-6,5.0,3,1253,9,8,1,0,3,0,True
